18/08/2020;23/E14120/2020-S0;Cleaning 24E-32;2101055444;;;;;"Bila Vacum kondensor 24K-2 tinggi, hal ini akan menyebabkan 24K-2 trip , produk off dan MDU-1 harus Shutdown "
26/08/2020;109/E14110/2020-S0 ;Perbaikan Bocoran Line Crude di Inlet 11F-1;2101055613;;;;;"Shutdown Kilang CDU, HDT & Platformer FOC-1"
26/08/2020;110/E14110/2020-S0 ;Percepatan Perbaikan Shaft & Shaft Sleev Untk Rotating Equipment Utls ;"2101052809 ,2101052806, 2101052807, 2101054277,2101054623";8201029363;;;;Dapat Menurunkan Kehandalan Operasional Kilang 
;;;;;;;;
09/07/2020;84/E14110/2020 - S5;Percepatan Perbaikan Motor 013K-101 AM;;;;;;Apabila Recycle Gas Compressor 013K-101 BM saat ini mengalami kegagalan maka unit AHU akan Shutdown
08/07/2020;No.250/E14130/2020-S0;Perbaikan Pompa  COS (Carbonyl Sulfide) Circulation Pump 103P-509A;2101053884;;;;;"Dengan menunggu perbaikan impeller & shaft, Pompa COS Solvent tersebut beroperasi tanpa spare, berpotensi menyebabkan kegagalan sirkulasi COS Solvent yang akan berdampak pada kegagalan Unit 103 - Merox yang mengakibatkan kehilangan Produk LPG sebesar 1190 TPD & Propylene sebesar 475 TPD."
29/06/2020;No.228/E14130/2020-S0;Perbaikan FDF COB 101F-503K2;2101053425;8201029565;;;;"Dengan menunggu perbaikan carbon ring, FDF CO Boiler (combustion air) beroperasi tanpa spare, jika terjadi kegagalan pada 101F-503K1 (Motor) maka akan menyebabkan CO Boiler Trip sehingga steam balance terganggu, berakibat kapasitas RFCC turun (dibawah 100% kapasitas). Apabila kondisi ini tidak segera diselesaikan, maka berpotensi kehilangan produk Gasoline 92, LPG serta Propylene."
22/06/2020;No.223/E14130/2020-S0;Penggantian Solenoid 180-XV-605;;;;;;Dengan terkendalanya sinyal respon 180-XV-605 yang lemah mengakibatkan condensate masuk ke system PPU dan akan menurunkan life time mol.sieve di PPU.
17/06/2020;No.216/E14130/2020-S0;Penggantian Flame Detector di Aux Boiler (151-B-501B) UTL RFCC;2101051888 dan 2101052927;8201029268;;;;Dengan adanya kerusakan tersebut menyebabkan tidak maksimalnya operasional Aux Boiler B dan tidak termonitornya api di burner atas Aux Boiler B. Hal tersebut dapat mengganggu kehandalan kilang RFCC secara keseluruhan karena menurunnya produk steam dari Aux Boiler B.
21/04/2020;No./E14120/2020-S5;Perbaikan 024E-104C;;;;;;Potensi terjadinya Slow Down Unit 024 MEK Dewaxing Unit II
11/03/2020;No.89/E14130/2020-S0;Percepatan Perbaikan DPA Compressor 156K502BT;2101049329;8201027745;;;;"Dengan pola operasi saaat ini supply DA dan PA hanya dipenuhi dari 1 unit IA Compressor & 1 unit DPA Compressor, maka jika terjadi failed/kegagalan pada unit Compressor DPA (156K502A) akan berdampak hilangnya supply Dry Air ke Kilang RFCC yang akan mengakibatkan terganggunya operasional unit Catalyst Cooler. Guna mengatasi hal tersebut maka diharapkan untuk dapat segera dilakukan percepatan perbaikan/penggantian system actuator DPA Compressor 156K502BT."
17/02/2020;No.025/E14120/2020-S5;Recloth Vacuum Filter 240S-101 A dan B;;;;;;Bila vacuum filter dioperasikan dalam kondisi cloth robek/berlubang maka produk DO akan cloudy (Slack Wax terikut produk DO). Banyaknya spray nozzle yang buntu menyebabkan filtrasi tidak dapat optimal. Kondisi tersebut berakibat penurunan kapasitas unit MDU III untuk grade DAO kap 80% maks vs target 94% RK 2020 sehingga berdampak terjadi penurunan produk HVI 95 dan HVI 650.
17/02/2020;No.026/E14000/2008-S5;Fabrikasi Plunger Pompa 260P-104 AB;;;;;;"Pompa 260P-104A mengalami kebocoran dan 260P-104B flow minimum tidak tercapai. Meningkatkan potensi terjadinya korosi pada HP system Unit HTU jika flow wash water tidak memenuhi requirement. Bocoran pada Rod mengandung H2S konsentrasi tinggi diatas 10.000 ppm perpotensi unsafe condition. Dalam tempo 2 (dua) jam pompa tidak beroperasi, mengharuskan shut down unit agar tidak terjadi plugging di HP system."
07/02/2020;No.17/E14110/2019-S0;Perbaikan Motor;2101048281;8201026424;;;;Mengganggu Kehandalan dan Proses Operasi di area Kilang
07/02/2020;No.18/E14110/2019-S0;Perbaikan Motor;2101048282;8201026424;;;;Mengganggu Kehandalan dan Proses Operasi di area Kilang
07/02/2020;No.19/E14110/2019-S0;Perbaikan Motor;2101048294;;;;;Mengganggu Kehandalan dan Proses Operasi di area Kilang
31/01/2020;No.52/E14110/2019-S1;Perbaikan Intercooler Kompressor 156-K-501A E1 dan E2;;;;;;"Dengan tidak bisa beroperasinya Instrument Air Kompressor""A"" (156-K-501A), maka menyebabkan tidak ada kompresor yang standby sehingga bila ada kegagalan di Instrument Air Kompresor""B"" (156-K-501B) yang sedang operasi, maka pressure Header Instrument Air (normal 6,5 kg/cm2) akan melonjak turun dengan cepat yang dapat menyebabkan terganggunya proses di UTL RFCC"
;;;;;;;;
29/04/2020;/E14110/2020-S0;Percepatan Perbaikan Pompa Desuperheater 52P2A;2101051287;8201028578;;;;"Pompa 52P2B/C running untuk mensupply kebutuhan desuperheater water di 7 unit boiler di 50/05, FOC-I dan LOC-I, kondisi ini sangat mengganggu kehandalan desuperheater water supply ke seluruh area kilang RU-IV"
29/04/2020;080/E14170/2020-S5;Permohonan Addendum Waktu Tanpa Biaya Pekerja Perbaikan dan Pemeliharaan Pompa CPI PT PERTAMINA (PERSERO) RU IV Cilacap;;;;;;
18/08/2020;23/E14120/2019-S5;Cleaning 24E-32;2101055444;;;;;"Bila vacuum kondensor 24K-2 tinggi, hal ini akan menyebabkan 24K-2 trip, produk off dan MDU-I harus shutdown"
01/07/2020;360/E14110/2020-S0;Percepatan Perbaikan Catwalk 73MD( Dermaga III Area 70;1101015761;8301079234;;;;"Kondisi tidak aman pada saat proses penyandaran, terutama saat dilakukan malam hari, potensi kerusakan lebih besar pada struktur platform 73MD9 dan 73MD10 apabila tidak dilaksanakan pengangkatan dan reposisi Catwalk segera dan Potensi tidak dapat disandarkan kapal di Dermaga III."
21/01/2020;52/E14130/2020-S0;Perbaikan Intercooler Kompressor 156-K501A E1 dan E2;2101047948;8201026305;;;;"Dengan tidak beroperasinya Instrument Air Kompresor ""A"" (156-K-501A), maka menyebabkan tidak ada kompesor yang standby sehingga bila ada kegagalan di Instrument Air Kompresor ""B"" (156-K-501B) yang sedang operasi, maka pressure Header Instrument Air (normal 6,5 kh/cm) akan melonjak turun dengan cepat yang dapat menyebabkan terganggunya proses di UTL RFCC"
17/04/2020;144/E14130/2020-S0;Perihal Modifikasi Let Down HHP Steam UTL 500 to HP Steam UTL RFCC;;;;;;Emergecy stop unit Gasoline treating unit #105 dan Hidrogen Recovery Unit #108 untuk menjaga kestabilan pressure HP Steam Header dan Start Up RFCC secara overall 8 jam lebih lama terkait limitasi availabilitas HP Steam.
21/01/2020;/E14130/2020-S0;Line Injeksi Chemical Polisher 154A503;2101047538;;;;;"Produk/Outlet Polisher 154-A-503, akan mengalami offspec saat terlambat dilakukan proses regenerasi dan akan berdampak pada offspeknya Denim water di Kilang RFCC sehingga berpotensi pada kegagalan Boiler System maupun turbin-turbin di area Kilang RFCC-Produksi III "
30/03/2020;29/E14110/2020-S0;Low Performant 56K3 dan 56K102;;;;;;"Dengan kondisi Kompressor Trip, kehandalan Supply Air Instrument terganggu"
13/04/2020;003/E14110/2020-S5;Pembuatan Line LCO Export ke 33T8;;;;;;"33T8 tidak dapat menampung produk Lco Export, Dengan tidak adanya tanki penampung LCO Export maka program produksi LCO Export menjadi tidak bisa terlaksana dan Ketidaksiapan 33T8 mengakibatkan LCO Export dimasukkan ke tanki MFO sehingga menjadi down grade produk"
26/05/2020;62/E14110/2020-S0;Pekerjaan Penanggulangan Bocoran Tanki 71T3 di Oil Movement 70;;;;;;"Unsafe Condition (potensi flash/kebakaran dan pencemaran lingkungan baik tanah, air dan udara, dampak sosial (tuntutan masyarakat sekitar dan LSM), dan dampak operasional berkurangnya tanki timbun crude oil."
14/08/2020;104/E14110/2020-S0;Pemasangan Scaffolding di line discharge 13P-6 ke header slope;2101055377;;;;;"Dampak safety dan lingkungan karena di daerah sekitar bocoran terdapat peralatan motor yang sedang beroperasi sehingga sangat berbahaya bila tidak diperbaiki segera dan sementara buangan 13V-7/8 di drain ke sewer, kandungan H2S tinggi mitigasi operasi di steaming."
04/06/2020;154/E14110/2020-S0;Pembubutan Cover Outboard Bearing 11P-4B;;;;;;"Bila 11P-4A mengalami kegagalan, maka Unit CDU harus stop"
04/06/2020;/E14120/2020-S0;Pembuatan Jumper Line dari tangki 39T-202 ke tangki 39T-209;2101052444;;;;;"Dampak Kehandalan: tidak dapat menampung produk Heavy Platformate sebagai umpan unit Xylene Fraksinasi. Dampak Operasional: dapat mengakibatkan terganggunya unit proses Area C di KPC (unit 87 Xylene Fraksinasi), dan pemakaian N2 yang banyak. Dampak safety: Unsafe condition dan paparan hydrocarbon, karena tangki 39T-202 sudah dalam kondisi abnormal (atap dalam kondisi terbuka/rusak)"
22/07/2020;264/E14120/2020-S5;Pengadaan UPS (uninterruptible Power Supply) pengganti UPS 200EE0004 dan battery bank 200EE0005;;;;;;All unit LOC III shutdown akibat power dailure PLC ESD dari kegagalan Secondary UPS 200EE0004 yang beroperasi tanpa adanya Standby UPS
30/04/2020;96/E14110/2020-S0;Penggantian Rocksalt di 16C-2;2101050612;8201028286;;;;Target produksi avtur tidak bisa tercapai
02/03/2020;036/E14120/2020-S5;Penggantian Control Valve Assy 22LV-011 (level control BFW di 22V-2 untuk Asphalt Cooler 22E-8;2101048775;8201030955;;;;"Vapor dan kondensat BFW bocor keluar dari packing dan Bonnet 22LV-011, Aliran BFW ke 22V-2 tidak bisa dicontrol (CV passing), Bila level 22V-2 tinggi BFW direlease keluar menyebabkan losses dan kondisi tidak aman (press 80kg/cm/temp 140C)"
02/03/2020;038/E14120/2020-S5;Perbaikan pompa torak 24P-14;2101040453;8201022215;;;;"Solvent dari Underground Vessel 24V-10 tidak dapat dipompakan ke 24V-7 untuk direcovery ke system, potensi losses Solvent. Solvent dari kegiatan warm wash yang ditampung di 24V-7 dipompakan ke Recovery system menggunakan 24P-5. Bila 24P-5 fail, terjadi losses Solvent/tidak bisa direcovery. Durasi drying Solvent pada saat start up lebih lama, limitas pada kapasitas 24P-5"
